日付,時間,秒あたりのクラスタ数の総和
20240101,00,19104.0
20240101,01,9068.0
20240101,02,1083.0
20240101,03,16012.0
20240101,04,15857.0
20240101,05,19634.0
20240101,06,10956.0
20240101,07,4841.0
20240101,08,10864.0
20240101,09,17398.0
20240101,10,13383.0
20240101,11,26668.0
20240101,12,21538.0
20240101,13,7252.0
20240101,14,28502.0
20240101,15,25779.0
20240101,16,7200.0
20240101,17,18036.0
20240101,18,7083.0
20240101,19,4310.0
20240101,20,16940.0
20240101,21,10313.0
20240101,22,12696.0
20240101,23,6684.0
20240102,00,6360.0
20240102,01,15562.0
20240102,02,6237.0
20240102,03,1829.0
20240102,04,11208.0
20240102,05,19928.0
20240102,06,15809.0
20240102,07,16833.0
20240102,08,10763.0
20240102,09,853.0
20240102,10,21629.0
20240102,11,25350.0
20240102,12,7196.0
20240102,13,13668.0
20240102,14,27330.0
20240102,15,17848.0
20240102,16,12920.0
20240102,17,14400.0
20240102,18,26458.0
20240102,19,14328.0
20240102,20,9168.0
20240102,21,20178.0
20240102,22,26175.0
20240102,23,15567.0
20240103,00,18102.0
20240103,01,27131.0
20240103,02,20357.0
20240103,03,1404.0
20240103,04,0.0
20240103,05,0.0
20240103,06,0.0
20240103,07,0.0
20240103,08,0.0
20240103,09,0.0
20240103,10,0.0
20240103,11,0.0
20240103,12,0.0
20240103,13,0.0
20240103,14,0.0
20240103,15,0.0
20240103,16,0.0
20240103,17,0.0
20240103,18,0.0
20240103,19,0.0
20240103,20,0.0
20240103,21,0.0
20240103,22,0.0
20240103,23,0.0
